,,e,e,e,e,e,e,e,e,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,Diameter,Diameter,Diameter,Diameter,Diameter,Diameter,Diameter,Diameter,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Graph_Type,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barabasi,190,300.0,922.45,3.2033897180359947,915.0,920.0,922.0,925.0,931.0,300.0,48.94,5.922272455467521,35.0,45.0,48.0,53.0,68.0,300.0,inf,,4.0,4.0,4.0,4.0,inf,300.0,2.4206321358952936,0.31595723851128477,0.0,2.4518518518518517,2.461292119186856,2.4713868003341686,2.5022556390977444,300.0,0.1191536480099365,0.011147442054501657,0.0892273472263965,0.11169899375958632,0.11814181122581005,0.12638836437190643,0.1522440575213928,300.0,9.71,0.03371989176879962,9.63157894736842,9.68421052631579,9.705263157894738,9.736842105263158,9.8
barabasi,200,300.0,972.45,3.2033897180359947,965.0,970.0,972.0,975.0,981.0,300.0,50.07666666666667,6.867410475890467,33.0,45.0,49.0,54.0,70.0,300.0,inf,,4.0,4.0,4.0,4.0,inf,300.0,2.4373621440536013,0.3182102667436141,0.0,2.467035175879397,2.4798994974874375,2.488429648241206,2.517788944723618,300.0,0.1158626355348063,0.011155707149289085,0.0945541589065605,0.1071953545125631,0.11481070865230611,0.12395045863171136,0.147087227666119,300.0,9.724499999999999,0.032033897180359934,9.65,9.7,9.72,9.75,9.81
barabasi,300,300.0,1472.45,3.2033897180359947,1465.0,1470.0,1472.0,1475.0,1481.0,300.0,61.71666666666667,8.320687171476532,45.0,56.0,61.0,67.0,92.0,300.0,inf,,4.0,4.0,4.0,4.0,inf,300.0,2.569637606837607,0.3354704257688423,0.0,2.603277591973244,2.6140579710144927,2.623361204013378,2.654515050167224,300.0,0.0883077929199058,0.008526314340102285,0.0704986344655469,0.08218036659888556,0.08792152164958145,0.09342740750059686,0.1167692926806181,300.0,9.816333333333333,0.021355931453573177,9.766666666666667,9.8,9.813333333333333,9.833333333333334,9.873333333333331
barabasi,400,300.0,1972.45,3.2033897180359947,1965.0,1970.0,1972.0,1975.0,1981.0,300.0,71.27,10.302308407751541,48.0,63.75,70.0,77.0,108.0,300.0,inf,,4.0,4.0,4.0,4.0,inf,300.0,2.659857644110276,0.34717779468723287,0.0,2.6953101503759402,2.7048308270676693,2.714877819548872,2.750526315789473,300.0,0.07228645719634173,0.006633235077540651,0.0534329794370048,0.0680049793877266,0.0717927337688357,0.07604705515083443,0.0939707791227027,300.0,9.862250000000001,0.016016948590179905,9.825,9.85,9.86,9.875,9.905
barabasi,500,300.0,2472.45,3.2033897180359947,2465.0,2470.0,2472.0,2475.0,2481.0,300.0,80.12666666666667,11.756046856029428,56.0,72.0,78.0,88.0,130.0,300.0,inf,,4.0,4.0,4.0,5.0,inf,300.0,2.728315297261189,0.35613878846485164,0.0,2.763937875751503,2.776144288577154,2.785436873747495,2.818412825651303,300.0,0.061938922467270105,0.005507980316511353,0.0486883068545386,0.057913754272242254,0.06145896407427895,0.06566306343741118,0.0785299737593637,300.0,9.889800000000001,0.012813558872143974,9.86,9.88,9.888,9.9,9.924
barabasi,1000,300.0,4972.45,3.2033897180359947,4965.0,4970.0,4972.0,4975.0,4981.0,300.0,115.40333333333334,15.269945196690195,82.0,104.0,114.0,127.0,162.0,300.0,inf,,5.0,5.0,5.0,5.0,inf,300.0,2.935033720387054,0.38303391341726134,0.0,2.973422922922923,2.9848538538538536,2.9959374374374375,3.021877877877878,300.0,0.03881437638678946,0.002993185078174282,0.0318900557811525,0.036888736640395776,0.038620617512778246,0.0406038761905489,0.0479493869496366,300.0,9.9449,0.00640677943607198,9.93,9.94,9.944,9.95,9.962
barabasi,1500,300.0,7472.45,3.2033897180359947,7465.0,7470.0,7472.0,7475.0,7481.0,300.0,139.89333333333335,19.38438728608875,96.0,127.0,138.0,153.0,216.0,300.0,inf,,5.0,5.0,5.0,5.0,inf,300.0,3.058744659402564,0.39918218971340463,0.0,3.09986902379364,3.1103553480097843,3.121444296197465,3.1489179452968648,300.0,0.02872936140180837,0.0022425252451778793,0.023245877275884,0.027126104447517875,0.0286072783553925,0.030050244888206425,0.0367398676621832,300.0,9.963266666666668,0.004271186290714695,9.953333333333331,9.96,9.962666666666667,9.966666666666669,9.974666666666666
barabasi,2000,300.0,9972.45,3.2033897180359947,9965.0,9970.0,9972.0,9975.0,9981.0,300.0,160.87666666666667,22.418819485258307,116.0,144.0,158.0,175.0,244.0,300.0,inf,,5.0,5.0,5.0,5.0,inf,300.0,3.145682914790729,0.41049505612604564,0.0,3.1882362431215605,3.1995762881440717,3.2089225862931468,3.2343541770885444,300.0,0.023315058039648093,0.0016904379662093514,0.0189961263468649,0.022174799357264425,0.0232142746940614,0.024245471821861975,0.0311797387765036,300.0,9.972449999999998,0.003203389718036065,9.965,9.97,9.972,9.975,9.981
barabasi,2500,300.0,12472.45,3.2033897180359947,12465.0,12470.0,12472.0,12475.0,12481.0,300.0,180.58,24.373835963972972,124.0,162.0,177.0,195.25,272.0,300.0,inf,,5.0,5.0,5.0,5.0,inf,300.0,3.212546868347339,0.4192024689033295,0.0,3.2564531412565025,3.2674487394957983,3.2774905162064827,3.304937975190076,300.0,0.019811459266719022,0.001377977640985111,0.0164805208327569,0.018866163978274127,0.01980059570674745,0.02081181633550175,0.0243273392314123,300.0,9.97796,0.002562711774428999,9.972,9.976,9.9776,9.98,9.9848
random,30,300.0,122.45,3.2033897180359947,115.0,120.0,122.0,125.0,131.0,300.0,13.183333333333334,1.2415825841507457,11.0,12.0,13.0,14.0,18.0,300.0,3.03,0.17087224588772665,3.0,3.0,3.0,3.0,4.0,300.0,1.784544061302682,0.022024149395680374,1.728735632183908,1.7701149425287357,1.7839080459770116,1.8,1.8781609195402296,300.0,0.280443567906313,0.026474295854636214,0.2064814814814815,0.2621777296777297,0.27915242165242166,0.29914132164132157,0.3606578606578608,300.0,8.163333333333334,0.21355931453573307,7.666666666666667,8.0,8.133333333333333,8.333333333333334,8.733333333333333
random,50,300.0,222.45,3.2033897180359943,215.0,220.0,222.0,225.0,231.0,300.0,15.32,1.3676628503548682,13.0,14.0,15.0,16.0,20.0,300.0,3.31,0.46326599768964766,3.0,3.0,3.0,4.0,4.0,300.0,1.9812489795918364,0.01621783007319614,1.9338775510204085,1.969795918367347,1.9812244897959184,1.9926530612244897,2.026938775510204,300.0,0.18276715062371404,0.015977220025466938,0.1426494616494617,0.17084817959817952,0.1824362581862582,0.19282766356450556,0.2225211651094004,300.0,8.898,0.12813558872143965,8.6,8.8,8.88,9.0,9.24
random,70,300.0,322.45,3.2033897180359943,315.0,320.0,322.0,325.0,331.0,300.0,16.36,1.4060547523319225,13.0,15.0,16.0,17.0,22.0,300.0,3.8266666666666667,0.3878879724259716,3.0,4.0,4.0,4.0,5.0,300.0,2.1211801242236024,0.012813752659050397,2.0836438923395444,2.112525879917184,2.1213250517598343,2.130124223602485,2.151552795031056,300.0,0.13381774042909594,0.012664472102903526,0.0924420024420024,0.1250157627153426,0.133779870922728,0.1421473863438149,0.1722500841828572,300.0,9.212857142857144,0.09152542051531483,9.0,9.142857142857142,9.2,9.285714285714286,9.457142857142856
random,90,300.0,422.45,3.2033897180359943,415.0,420.0,422.0,425.0,431.0,300.0,17.153333333333332,1.49798824589459,14.0,16.0,17.0,18.0,23.0,300.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,300.0,2.2304377861007074,0.00958293311429342,2.20749063670412,2.223970037453184,2.230586766541823,2.2369538077403246,2.2531835205992508,300.0,0.10535507619218819,0.008922356978967544,0.0831396998063664,0.09896075780944193,0.10487674725419821,0.11081846031600925,0.125502917561741,300.0,9.387777777777778,0.0711864381785775,9.22222222222222,9.333333333333334,9.377777777777778,9.444444444444445,9.577777777777778
